ReactorName	Sugar	ColonyCount	Day	Reactor	Generation
S1R1	Trehalose	400000000	0	R1	0.528
S1R2	Trehalose	15000000	0	R2	0.45
S1R3	Trehalose	30000000	0	R3	0.603870968
S1R4	Trehalose	30000000	0	R4	0.468
S2R1	Sucrose	50000000	0	R1	0.375652174
S2R2	Sucrose	100000000	0	R2	0.486
S2R3	Sucrose	300000000	0	R3	0.437468354
S2R4	Sucrose	20000000	0	R4	0.455696203
S3R1	HFCS	20000000	0	R1	0.45
S3R2	HFCS	80000000	0	R2	0.348819876
S3R3	HFCS	150000000	0	R3	0.491707317
S3R4	HFCS	100000000	0	R4	0.517647059
S1R1	Trehalose	10000000	1	R1	11.28
S1R2	Trehalose	10000000	1	R2	9.882
S1R3	Trehalose	10000000	1	R3	10.73496774
S1R4	Trehalose	10000000	1	R4	9.4905
S2R1	Sucrose	40000000	1	R1	8.371677019
S2R2	Sucrose	30000000	1	R2	9.171
S2R3	Sucrose	20000000	1	R3	9.277974684
S2R4	Sucrose	40000000	1	R4	8.908860759
S3R1	HFCS	40000000	1	R1	8.1945
S3R2	HFCS	40000000	1	R2	8.93515528
S3R3	HFCS	50000000	1	R3	9.294146341
S3R4	HFCS	50000000	1	R4	9.6
S1R1	Trehalose	100000000	5	R1	46.75501752
S1R2	Trehalose	100000000	5	R2	45.36396305
S1R3	Trehalose	100000000	5	R3	45.50302888
S1R4	Trehalose	100000000	5	R4	43.36579249
S2R1	Sucrose	70000000	5	R1	41.81535857
S2R2	Sucrose	100000000	5	R2	44.78385876
S2R3	Sucrose	100000000	5	R3	42.82054149
S2R4	Sucrose	90000000	5	R4	42.78081248
S3R1	HFCS	100000000	5	R1	42.54533597
S3R2	HFCS	90000000	5	R2	44.36063091
S3R3	HFCS	100000000	5	R3	44.29213992
S3R4	HFCS	100000000	5	R4	45.08592664
S1R1	Trehalose	100000000	7	R1	64.43584377
S1R2	Trehalose	100000000	7	R2	64.02913808
S1R3	Trehalose	100000000	7	R3	63.3465478
S1R4	Trehalose	100000000	7	R4	60.91823066
S2R1	Sucrose	100000000	7	R1	58.84959228
S2R2	Sucrose	100000000	7	R2	61.67489218
S2R3	Sucrose	100000000	7	R3	59.90966366
S2R4	Sucrose	100000000	7	R4	60.1117712
S3R1	HFCS	100000000	7	R1	59.54937606
S3R2	HFCS	100000000	7	R2	62.14859287
S3R3	HFCS	100000000	7	R3	61.35773953
S3R4	HFCS	100000000	7	R4	61.93086415
S1R1	Trehalose	100000000	9	R1	81.63022325
S1R2	Trehalose	100000000	9	R2	81.5661227
S1R3	Trehalose	100000000	9	R3	81.2007612
S1R4	Trehalose	100000000	9	R4	78.48401528
S2R1	Sucrose	100000000	9	R1	75.65356501
S2R2	Sucrose	100000000	9	R2	79.89558448
S2R3	Sucrose	100000000	9	R3	76.73494117
S2R4	Sucrose	100000000	9	R4	77.07043517
S3R1	HFCS	100000000	9	R1	76.40534862
S3R2	HFCS	100000000	9	R2	81.14539287
S3R3	HFCS	100000000	9	R3	79.63243183
S3R4	HFCS	100000000	9	R4	79.92934516
S1R1	Trehalose	70000000	12	R1	107.5593309
S1R2	Trehalose	130000000	12	R2	108.0377535
S1R3	Trehalose	100000000	12	R3	108.1091086
S1R4	Trehalose	100000000	12	R4	105.013246
S2R1	Sucrose	80000000	12	R1	100.7757461
S2R2	Sucrose	NA	12	R2	107.2241999
S2R3	Sucrose	80000000	12	R3	102.0038798
S2R4	Sucrose	NA	12	R4	102.431002
S3R1	HFCS	200000000	12	R1	101.7700914
S3R2	HFCS	100000000	12	R2	109.7245929
S3R3	HFCS	100000000	12	R3	106.9520472
S3R4	HFCS	1000000000	12	R4	106.9885857
S1R1	Trehalose	100000000	17	R1	154.8187871
S1R2	Trehalose	100000000	17	R2	153.3999489
S1R3	Trehalose	100000000	17	R3	149.8138631
S1R4	Trehalose	80000000	17	R4	146.0850755
S2R1	Sucrose	100000000	17	R1	149.4840176
S2R2	Sucrose	100000000	17	R2	142.8393841
S2R3	Sucrose	100000000	17	R3	144.0942583
S2R4	Sucrose	100000000	17	R4	144.933215
S3R1	HFCS	100000000	17	R1	155.8817391
S3R2	HFCS	5000000	17	R2	152.3387584
S3R3	HFCS	100000000	17	R3	151.8394386
S3R4	HFCS	100000000	17	R4	155.6660355
