samplename	Lcas	Vaty	Ssal	Phis	Lreu	Smit
Atyp	0.013675922	0.986324078	0	0	0	0
LactoStreps	0.066307501	0	0.46912557	0	0.004558641	0.460008288
Phis	0.002900953	0	0	0.997099047	0	0
S1R1_0	0.284293411	0.000828844	0.051802735	0.661002901	0.002072109	0
S1R1_11	0.7708247	0.198922503	0.029009532	0	0.000828844	0.000414422
S1R1_13	0.76212184	0.233733941	0.003729797	0	0.000414422	0
S1R1_15	0.856610029	0.139245752	0.004144219	0	0	0
S1R1_17	0.953999171	0.043099876	0.002486531	0	0.000414422	0
S1R1_18	0.956071281	0.03522586	0.007045172	0	0.001657688	0
S1R1_3	0.391214256	0.590965603	0.017820141	0	0	0
S1R1_6	0.899295483	0.046829673	0.053874845	0	0	0
S1R1_7	0.473269789	0.512225446	0.013675922	0	0.000828844	0
S1R1_9	0.866970576	0.084542064	0.048072938	0	0.000414422	0
S1R1_takedown	0.847492748	0.088271861	0.059676751	0	0.003729797	0.000828844
S1R2_0	0.433485288	0	0.116038127	0.436386241	0.001657688	0.012432656
S1R2_11	0.163696643	0.83257356	0.003729797	0	0	0
S1R2_13	0.335267302	0.661002901	0.003729797	0	0	0
S1R2_15	0.214670535	0.7840862	0.001243266	0	0	0
S1R2_17	0.515126399	0.481558226	0.003315375	0	0	0
S1R2_18	0.419394944	0.57936179	0.001243266	0	0	0
S1R2_3	0.588479072	0.307086614	0.100704517	0.000414422	0	0.003315375
S1R2_6	0.794446747	0.100704517	0.103191048	0	0.001657688	0
S1R2_7	0.506423539	0.435557397	0.055532532	0	0.002486531	0
S1R2_9	0.570244509	0.39867385	0.031081641	0	0	0
S1R2_takedown	0.37670949	0.529216743	0.090758392	0	0.000414422	0.002900953
S1R3_0	0.185661003	0.003315375	0.316203896	0.341069208	0.009117281	0.144633237
S1R3_11	0.497306258	0.500207211	0.002072109	0	0	0.000414422
S1R3_13	0.753833402	0.244923332	0.001243266	0	0	0
S1R3_15	0.033568172	0.961458765	0.004973063	0	0	0
S1R3_17	0.928305015	0.070866142	0.000828844	0	0	0
S1R3_18	0.90095317	0.098217986	0.000828844	0	0	0
S1R3_3	0.566514712	0.201823456	0.223787816	0	0	0.007874016
S1R3_6	0.418980522	0.102776627	0.460837132	0	0.000828844	0.016576875
S1R3_7	0.877745545	0.054703688	0.055946954	0	0.000828844	0.010774969
S1R3_9	0.66970576	0.318276005	0.010774969	0	0.000414422	0.000828844
S1R3_takedown	0.556154165	0.423953585	0.01989225	0	0	0
S1R4_0	0.282635723	0.000414422	0.172399503	0.427683382	0.00870286	0.108164111
S1R4_11	0.680895151	0.257355988	0.039784501	0.000828844	0.004558641	0.016576875
