""	"samplename"	"strain"	"sample"	"experiment"	"time"	"generation"	"CN"	"Sugar"	"reactorname"	"fraction"	"correctedfraction"	"sum"	"correctedsum"	"correctedfraction2"	"correctedsum2"
"1"	"Atyp"	"Lcas"	"Atyp"	"SDR12"	"inoculate"	0	5	"inoculate"	"inoculate"	0.013675922	0.01285536668	1	1.55809642221333	0.00825068750349768	1
"2"	"Atyp"	"Lreu"	"Atyp"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0	0	1	1.55809642221333	0	1
"3"	"Atyp"	"Phis"	"Atyp"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0	0	1	1.55809642221333	0	1
"4"	"Atyp"	"Smit"	"Atyp"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0	0	1	1.55809642221333	0	1
"5"	"Atyp"	"Ssal"	"Atyp"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0	0	1	1.55809642221333	0	1
"6"	"Atyp"	"Vaty"	"Atyp"	"SDR12"	"inoculate"	0	3	"inoculate"	"inoculate"	0.986324078	1.54524105553333	1	1.55809642221333	0.991749312496502	1
"7"	"LactoStreps"	"Lcas"	"LactoStreps"	"SDR12"	"inoculate"	0	5	"inoculate"	"inoculate"	0.066307501	0.06232905094	1	0.97389142129	0.0639999999768352	1
"8"	"LactoStreps"	"Lreu"	"LactoStreps"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0.004558641	0.00357093545	1	0.97389142129	0.0036666669116666	1
"9"	"LactoStreps"	"Phis"	"LactoStreps"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0	0	1	0.97389142129	0	1
"10"	"LactoStreps"	"Smit"	"LactoStreps"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0.460008288	0.5405097384	1	0.97389142129	0.554999999572899	1
"11"	"LactoStreps"	"Ssal"	"LactoStreps"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0.46912557	0.3674816965	1	0.97389142129	0.377333333538599	1
"12"	"LactoStreps"	"Vaty"	"LactoStreps"	"SDR12"	"inoculate"	0	3	"inoculate"	"inoculate"	0	0	1	0.97389142129	0	1
"13"	"Phis"	"Lcas"	"Phis"	"SDR12"	"inoculate"	0	5	"inoculate"	"inoculate"	0.002900953	0.00272689582	1	1.174318276045	0.0023221096662005	1
"14"	"Phis"	"Lreu"	"Phis"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0	0	1	1.174318276045	0	1
"15"	"Phis"	"Phis"	"Phis"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0.997099047	1.171591380225	1	1.174318276045	0.997677890333799	1
"16"	"Phis"	"Smit"	"Phis"	"SDR12"	"inoculate"	0	4	"inoculate"	"inoculate"	0	0	1	1.174318276045	0	1
"17"	"Phis"	"Ssal"	"Phis"	"SDR12"	"inoculate"	0	6	"inoculate"	"inoculate"	0	0	1	1.174318276045	0	1
"18"	"Phis"	"Vaty"	"Phis"	"SDR12"	"inoculate"	0	3	"inoculate"	"inoculate"	0	0	1	1.174318276045	0	1
"19"	"S1R1_0"	"Lcas"	"S1R1"	"SDR12"	"0"	0.528	5	"Trehalose"	"R1"	0.284293411	0.26723580634	1	1.087414698415	0.245753351255523	1
"20"	"S1R1_0"	"Lreu"	"S1R1"	"SDR12"	"0"	0.528	6	"Trehalose"	"R1"	0.002072109	0.00162315205	1	1.087414698415	0.00149267069165598	1
"21"	"S1R1_0"	"Phis"	"S1R1"	"SDR12"	"0"	0.528	4	"Trehalose"	"R1"	0.661002901	0.776678408675	1	1.087414698415	0.714243066428176	1
"22"	"S1R1_0"	"Smit"	"S1R1"	"SDR12"	"0"	0.528	4	"Trehalose"	"R1"	0	0	1	1.087414698415	0	1
"23"	"S1R1_0"	"Ssal"	"S1R1"	"SDR12"	"0"	0.528	6	"Trehalose"	"R1"	0.051802735	0.0405788090833333	1	1.087414698415	0.0373167744950298	1
"24"	"S1R1_0"	"Vaty"	"S1R1"	"SDR12"	"0"	0.528	3	"Trehalose"	"R1"	0.000828844	0.00129852226666667	1	1.087414698415	0.0011941371296152	1
"25"	"S1R1_11"	"Lcas"	"S1R1"	"SDR12"	"11"	98.96109505	5	"Trehalose"	"R1"	0.7708247	0.724575218	1.000000001	1.06008081308333	0.683509416506193	1
"26"	"S1R1_11"	"Lreu"	"S1R1"	"SDR12"	"11"	98.96109505	6	"Trehalose"	"R1"	0.000828844	0.000649261133333333	1.000000001	1.06008081308333	0.00061246380966457	1
"27"	"S1R1_11"	"Phis"	"S1R1"	"SDR12"	"11"	98.96109505	4	"Trehalose"	"R1"	0	0	1.000000001	1.06008081308333	0	1
"28"	"S1R1_11"	"Smit"	"S1R1"	"SDR12"	"11"	98.96109505	4	"Trehalose"	"R1"	0.000414422	0.00048694585	1.000000001	1.06008081308333	0.000459347857248428	1
"29"	"S1R1_11"	"Ssal"	"S1R1"	"SDR12"	"11"	98.96109505	6	"Trehalose"	"R1"	0.029009532	0.0227241334	1.000000001	1.06008081308333	0.021436227426761	1
"30"	"S1R1_11"	"Vaty"	"S1R1"	"SDR12"	"11"	98.96109505	3	"Trehalose"	"R1"	0.198922503	0.3116452547	1.000000001	1.06008081308333	0.293982544400133	1
"31"	"S1R1_13"	"Lcas"	"S1R1"	"SDR12"	"13"	117.049576	5	"Trehalose"	"R1"	0.76212184	0.7163945296	1	1.08582400871667	0.659770389905732	1
