	Time	timemins	Strain	value	Sugar	strain
1	0	0	Lcas1	0.0885	Trehalose	Lcas
2	600	10	Lcas1	0.0889	Trehalose	Lcas
3	1200	20	Lcas1	0.0885	Trehalose	Lcas
4	1800	30	Lcas1	0.0888	Trehalose	Lcas
5	2400	40	Lcas1	0.0892	Trehalose	Lcas
6	3000	50	Lcas1	0.0894	Trehalose	Lcas
7	3600	60	Lcas1	0.09	Trehalose	Lcas
8	4200	70	Lcas1	0.0901	Trehalose	Lcas
9	4800	80	Lcas1	0.0902	Trehalose	Lcas
10	5400	90	Lcas1	0.0903	Trehalose	Lcas
11	6000	100	Lcas1	0.0907	Trehalose	Lcas
12	6600	110	Lcas1	0.0909	Trehalose	Lcas
13	7200	120	Lcas1	0.0917	Trehalose	Lcas
14	7800	130	Lcas1	0.0924	Trehalose	Lcas
15	8400	140	Lcas1	0.0928	Trehalose	Lcas
16	9000	150	Lcas1	0.0927	Trehalose	Lcas
17	9600	160	Lcas1	0.0933	Trehalose	Lcas
18	10200	170	Lcas1	0.0942	Trehalose	Lcas
19	10800	180	Lcas1	0.0943	Trehalose	Lcas
20	11400	190	Lcas1	0.0952	Trehalose	Lcas
21	12000	200	Lcas1	0.0961	Trehalose	Lcas
22	12600	210	Lcas1	0.0959	Trehalose	Lcas
23	13200	220	Lcas1	0.0965	Trehalose	Lcas
24	13800	230	Lcas1	0.0976	Trehalose	Lcas
25	14400	240	Lcas1	0.0984	Trehalose	Lcas
26	15000	250	Lcas1	0.0993	Trehalose	Lcas
27	15600	260	Lcas1	0.1001	Trehalose	Lcas
28	16200	270	Lcas1	0.1011	Trehalose	Lcas
29	16800	280	Lcas1	0.1022	Trehalose	Lcas
30	17400	290	Lcas1	0.1031	Trehalose	Lcas
31	18000	300	Lcas1	0.1047	Trehalose	Lcas
32	18600	310	Lcas1	0.1057	Trehalose	Lcas
33	19200	320	Lcas1	0.1071	Trehalose	Lcas
34	19800	330	Lcas1	0.1086	Trehalose	Lcas
35	20400	340	Lcas1	0.1104	Trehalose	Lcas
36	21000	350	Lcas1	0.1125	Trehalose	Lcas
37	21600	360	Lcas1	0.1144	Trehalose	Lcas
38	22200	370	Lcas1	0.1158	Trehalose	Lcas
39	22800	380	Lcas1	0.1181	Trehalose	Lcas
40	23400	390	Lcas1	0.1202	Trehalose	Lcas
41	24000	400	Lcas1	0.1225	Trehalose	Lcas
42	24600	410	Lcas1	0.1256	Trehalose	Lcas
43	25200	420	Lcas1	0.1282	Trehalose	Lcas
44	25800	430	Lcas1	0.1304	Trehalose	Lcas
45	26400	440	Lcas1	0.1332	Trehalose	Lcas
46	27000	450	Lcas1	0.1365	Trehalose	Lcas
47	27600	460	Lcas1	0.1393	Trehalose	Lcas
48	28200	470	Lcas1	0.1424	Trehalose	Lcas
49	28800	480	Lcas1	0.1461	Trehalose	Lcas
50	29400	490	Lcas1	0.1494	Trehalose	Lcas
51	30000	500	Lcas1	0.1532	Trehalose	Lcas
52	30600	510	Lcas1	0.1582	Trehalose	Lcas
53	31200	520	Lcas1	0.1619	Trehalose	Lcas
54	31800	530	Lcas1	0.1651	Trehalose	Lcas
55	32400	540	Lcas1	0.1696	Trehalose	Lcas
56	33000	550	Lcas1	0.1735	Trehalose	Lcas
57	33600	560	Lcas1	0.1787	Trehalose	Lcas
58	34200	570	Lcas1	0.1837	Trehalose	Lcas
59	34800	580	Lcas1	0.1881	Trehalose	Lcas
60	35400	590	Lcas1	0.1934	Trehalose	Lcas
61	36000	600	Lcas1	0.1985	Trehalose	Lcas
62	36600	610	Lcas1	0.2039	Trehalose	Lcas
63	37200	620	Lcas1	0.2098	Trehalose	Lcas
64	37800	630	Lcas1	0.2156	Trehalose	Lcas
65	38400	640	Lcas1	0.2215	Trehalose	Lcas
66	39000	650	Lcas1	0.2276	Trehalose	Lcas
67	39600	660	Lcas1	0.2338	Trehalose	Lcas
68	40200	670	Lcas1	0.2392	Trehalose	Lcas
69	40800	680	Lcas1	0.2458	Trehalose	Lcas
70	41400	690	Lcas1	0.2515	Trehalose	Lcas
71	42000	700	Lcas1	0.2573	Trehalose	Lcas
72	42600	710	Lcas1	0.2639	Trehalose	Lcas
73	43200	720	Lcas1	0.2693	Trehalose	Lcas
74	43800	730	Lcas1	0.276	Trehalose	Lcas
75	44400	740	Lcas1	0.2814	Trehalose	Lcas
76	45000	750	Lcas1	0.2879	Trehalose	Lcas
77	45600	760	Lcas1	0.2941	Trehalose	Lcas
78	46200	770	Lcas1	0.2996	Trehalose	Lcas
79	46800	780	Lcas1	0.3051	Trehalose	Lcas
80	47400	790	Lcas1	0.3106	Trehalose	Lcas
81	48000	800	Lcas1	0.3164	Trehalose	Lcas
82	48600	810	Lcas1	0.3222	Trehalose	Lcas
83	49200	820	Lcas1	0.3269	Trehalose	Lcas
84	49800	830	Lcas1	0.3324	Trehalose	Lcas
85	50400	840	Lcas1	0.3377	Trehalose	Lcas
86	51000	850	Lcas1	0.3425	Trehalose	Lcas
87	51600	860	Lcas1	0.3472	Trehalose	Lcas
88	52200	870	Lcas1	0.3517	Trehalose	Lcas
89	52800	880	Lcas1	0.3572	Trehalose	Lcas
90	53400	890	Lcas1	0.362	Trehalose	Lcas
91	54000	900	Lcas1	0.3666	Trehalose	Lcas
92	54600	910	Lcas1	0.3702	Trehalose	Lcas
93	55200	920	Lcas1	0.3755	Trehalose	Lcas
