Hormone	media	Strain	Intercept	Coeff	Sig	IError	Cerror	UpperI	UpperC	LowerI	LowerC
PP	SDRBRMSucrose	Ssal	4.0258	0.2871		0.341	1.5695	4.3668	1.8566	3.6848	-1.2824
PP	SDRBRMHFCS	Ssal	5.099	-23.5555	y	0.5219	6.7618	5.6209	-16.7937	4.5771	-30.3173
PP	SDRBRMTrehalose	Ssal	3.1507	38.7514	y	0.4978	11.9444	3.6485	50.6958	2.6529	26.807
PYY	SDRBRMSucrose	Vaty	95.819	-1.513		1.695	25.815	97.514	24.302	94.124	-27.328
PYY	SDRBRMHFCS	Vaty	105.369	-12.691	y	2.429	26.067	107.798	13.376	102.94	-38.758
PYY	SDRBRMTrehalose	Vaty	94.607	11.069		2.43	26.078	97.037	37.147	92.177	-15.009
PYY	SDRBRMSucrose	Lcas	95.819	18.438		1.695	33.998	97.514	52.436	94.124	-15.56
PYY	SDRBRMHFCS	Lcas	105.369	-15.863	y	2.429	34.091	107.798	18.228	102.94	-49.954
PYY	SDRBRMTrehalose	Lcas	94.607	0.925		2.43	34.106	97.037	35.031	92.177	-33.181
Ghrelin	SDRBRMSucrose	Lcas	10.7791	17.0682		0.3838	8.6725	11.1629	25.7407	10.3953	8.3957
Ghrelin	SDRBRMHFCS	Lcas	9.723	2.6861		0.5428	8.7087	10.2658	11.3948	9.1802	-6.0226
Ghrelin	SDRBRMTrehalose	Lcas	10.0913	-0.9744	y	0.5428	8.6959	10.6341	7.7215	9.5485	-9.6703
Ghrelin	SDRBRMSucrose	Ssal	10.7791	-2.4824		0.3838	1.4848	11.1629	-0.9976	10.3953	-3.9672
Ghrelin	SDRBRMHFCS	Ssal	9.723	-27.3121	y	0.5428	7.8666	10.2658	-19.4455	9.1802	-35.1787
Ghrelin	SDRBRMTrehalose	Ssal	10.0913	22.3878		0.5428	13.2203	10.6341	35.6081	9.5485	9.1675
Ghrelin	SDRBRMSucrose	Vaty	10.7791	-14.7739	y	0.3838	6.4944	11.1629	-8.2795	10.3953	-21.2683
Ghrelin	SDRBRMHFCS	Vaty	9.723	1.9489	y	0.5428	6.5543	10.2658	8.5032	9.1802	-4.6054
Ghrelin	SDRBRMTrehalose	Vaty	10.0913	-0.2802	y	0.5428	6.5822	10.6341	6.302	9.5485	-6.8624
