Analyte	Exp	Blankgroup	SampleName	X	Plate	media	treatment	replica	Order	SampleGroup	Blank	Concentration	Concentration_blank	Concentration_fc	ReactorReplicate
C.Peptide	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	4.7	6.143333333	0.765056972	M1
C.Peptide	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	9.03	6.143333333	1.469886055	M1
C.Peptide	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	4.7	6.143333333	0.765056972	M1
C.Peptide	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	4.7	5.516666667	0.851963746	M1
C.Peptide	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	4.7	4.7	1	M1
C.Peptide	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	4.7	4.7	1	M1
C.Peptide	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	4.7	4.7	1	M1
C.Peptide	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	7.15	5.516666667	1.296072508	M1
C.Peptide	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	4.7	5.516666667	0.851963746	M1
C.Peptide	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	4.7	4.7	1	M2
C.Peptide	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	4.7	4.7	1	M2
Ghrelin	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	10.46	10.31666667	1.013893376	M1
Ghrelin	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	10.87	10.31666667	1.053634895	M1
Ghrelin	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	9.62	10.31666667	0.932471729	M1
Ghrelin	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	10.66	11.58333333	0.92028777	M1
Ghrelin	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	11.47	11.46666667	1.000290698	M1
Ghrelin	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	11.27	11.46666667	0.982848837	M1
Ghrelin	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	11.66	11.46666667	1.016860465	M1
Ghrelin	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	11.27	11.58333333	0.97294964	M1
Ghrelin	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	12.82	11.58333333	1.10676259	M1
Ghrelin	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	11.07	10.11	1.09495549	M2
Ghrelin	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	8.6	10.11	0.850642928	M2
Ghrelin	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	10.66	10.11	1.054401583	M2
Ghrelin	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	8.97	9.116666667	0.983912249	M2
Ghrelin	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	9.19	9.116666667	1.008043876	M2
Ghrelin	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	9.19	9.116666667	1.008043876	M2
Ghrelin	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	8.6	8.6	1	M2
Ghrelin	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	8.6	8.6	1	M2
Ghrelin	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	8.6	8.6	1	M2
GIP.total	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	9.17	15.46666667	0.592887931	M1
GIP.total	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	29.26	15.46666667	1.891810345	M1
GIP.total	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	7.97	15.46666667	0.515301724	M1
GIP.total	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	14.71	15.32	0.960182768	M1
GIP.total	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	15.93	16.57	0.961375981	M1
GIP.total	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	14.71	16.57	0.887748944	M1
GIP.total	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	19.07	16.57	1.150875075	M1
GIP.total	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	22.25	15.32	1.452349869	M1
GIP.total	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	9	15.32	0.587467363	M1
GIP.total	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	13.24	13.12666667	1.008633824	M2
GIP.total	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	14.75	13.12666667	1.123666836	M2
GIP.total	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	11.39	13.12666667	0.86769934	M2
GIP.total	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	11.11	9.946666667	1.116957105	M2
GIP.total	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	9.57	9.946666667	0.962131367	M2
GIP.total	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	9.16	9.946666667	0.920911528	M2
GIP.total	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	6.54	4.596666667	1.422770123	M2
GIP.total	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	4.54	4.596666667	0.987672226	M2
GIP.total	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	2.71	4.596666667	0.58955765	M2
GLP.1.total	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	1.88	2.45	0.767346939	M1
GLP.1.total	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	1.88	2.45	0.767346939	M1
GLP.1.total	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	3.59	2.45	1.465306122	M1
GLP.1.total	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	3.59	4.106666667	0.874188312	M1
GLP.1.total	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	6.59	5.353333333	1.231008717	M1
GLP.1.total	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	5.88	5.353333333	1.098381071	M1
GLP.1.total	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	3.59	5.353333333	0.670610212	M1
GLP.1.total	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	3.59	4.106666667	0.874188312	M1
GLP.1.total	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	5.14	4.106666667	1.251623377	M1
GLP.1.total	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	0.9	0.9	1	M2
